name	x	y	z
Fp1	83.92	29.44	-6.99
AF7	68.57	54.84	-10.59
AF3	76.84	33.70	21.23
F1	56.93	27.50	60.34
F3	53.11	50.24	42.19
F5	48.04	64.47	16.92
F7	42.47	70.26	-11.42
FT7	14.12	80.78	-11.13
FC5	18.64	77.21	24.46
FC3	22.72	60.18	55.54
FC1	26.01	34.06	79.99
C1	-9.98	36.16	89.75
C3	-11.63	65.36	64.36
C5	-13.76	80.28	29.16
T7	-16.02	84.16	-9.35
TP7	-46.02	84.83	-7.06
CP5	-46.55	79.59	30.95
CP3	-47.01	63.56	65.62
CP1	-47.29	35.51	91.31
P1	-80.52	28.62	75.44
P3	-78.79	53.01	55.94
P5	-76.29	67.27	28.38
P7	-73.45	72.43	-2.49
P9	-73.77	73.01	-41.00
PO7	-97.53	54.84	2.79
PO3	-100.85	36.51	37.17
O1	-112.45	29.41	8.84
Iz	-118.56	-0.00	-23.08
Oz	-114.89	-0.11	14.66
POz	-102.18	-0.22	50.61
Pz	-81.11	-0.32	82.61
CPz	-47.32	-0.39	99.43
Fpz	88.25	-0.11	-1.71
Fp2	84.90	-29.87	-7.08
AF8	69.66	-55.74	-10.75
AF4	77.73	-35.71	21.96
AFz	80.77	-0.23	35.42
Fz	58.51	-0.31	66.46
F2	57.60	-29.51	59.54
F4	54.30	-51.84	40.81
F6	49.83	-67.91	16.37
F8	44.42	-73.04	-12.00
FT8	15.42	-81.82	-11.33
FC6	19.94	-79.53	24.44
FC4	23.72	-62.29	55.63
FC2	26.44	-34.78	78.81
FCz	27.39	-0.38	88.67
Cz	-9.17	-0.40	100.24
C2	-9.62	-37.67	88.41
C4	-10.90	-67.12	63.58
C6	-12.78	-83.46	29.21
T8	-15.02	-85.08	-9.49
TP8	-45.55	-85.55	-7.13
CP6	-46.10	-83.32	31.21
CP4	-46.64	-66.61	65.58
CP2	-47.07	-38.38	90.69
P2	-80.49	-31.92	76.72
P4	-78.56	-55.67	56.56
P6	-75.90	-67.89	28.09
P8	-73.07	-73.06	-2.54
P10	-74.39	-73.89	-41.22
PO8	-97.63	-55.67	2.73
PO4	-100.85	-36.78	36.40
O2	-112.16	-29.84	8.80
EXG1	n/a	n/a	n/a
EXG2	n/a	n/a	n/a
EXG3	n/a	n/a	n/a
EXG4	n/a	n/a	n/a
EXG5	n/a	n/a	n/a
EXG6	n/a	n/a	n/a
EXG7	n/a	n/a	n/a
EXG8	n/a	n/a	n/a
GSR1	n/a	n/a	n/a
GSR2	n/a	n/a	n/a
Erg1	n/a	n/a	n/a
Erg2	n/a	n/a	n/a
Resp	n/a	n/a	n/a
Plet	n/a	n/a	n/a
Temp	n/a	n/a	n/a
